73	1	B	00	N
89	1	G	00	N
105	1	R	00	N
121	1	W	00	N
425	2	B	00	N
441	2	G	00	N
457	2	R	00	N
473	2	W	00	N
521	3	B	00	N
537	3	G	00	N
553	3	R	00	N
569	3	W	00	N
649	4	B	00	N
665	4	G	00	N
681	4	R	00	N
697	4	W	00	N
768	5	B	00	N
769	5	G	00	N
770	5	R	00	N
771	5	W	00	N
8	6	B	00	N
25	6	G	00	N
41	6	R	00	N
57	6	W	00	N
800	7	B	00	N
801	7	G	00	N
802	7	R	00	N
803	7	W	00	N
384	8	B	00	N
385	8	G	00	N
386	8	R	00	N
387	8	W	00	N
841	9	B	00	N
857	9	G	00	N
873	9	R	00	N
889	9	W	00	N
585	10	B	00	N
601	10	G	00	N
617	10	R	00	N
633	10	W	00	N
905	11	B	00	N
921	11	G	00	N
937	11	R	00	N
953	11	W	00	N
713	12	B	00	N
729	12	G	00	N
745	12	R	00	N
761	12	W	00	N
137	13	B	00	N
153	13	G	00	N
169	13	R	00	N
185	13	W	00	N
329	14	B	00	N
345	14	G	00	N
361	14	R	00	N
377	14	W	00	N
265	15	B	00	N
281	15	G	00	N
297	15	R	00	N
313	15	W	00	N
201	16	B	00	N
217	16	G	00	N
233	16	R	00	N
249	16	W	00	N
